author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,street,house_number,underground
developer,Москва,3.0,23.0,1.0,36.6,9302951.0,2026.0,14.0,12.6,Сигнальный проезд,12.0,Владыкино
developer,Москва,4.0,23.0,1.0,29.3,9305651.0,2026.0,14.1,3.6,Сигнальный проезд,12.0,Владыкино
developer,Москва,2.0,25.0,1.0,38.9,9326430.0,2026.0,9.0,16.5,Зеленоград,6.4,Зеленоград — Крюково
developer,Москва,14.0,14.0,1.0,41.0,9258414.0,2024.0,10.5,22.5, Усадебный Парк,12.0,Филатов Луг
developer,Москва,5.0,23.0,1.0,34.7,9626370.0,2026.0,22.3,3.6,Сигнальный проезд,12.0,Владыкино
unknown,Москва,9.0,10.0,1.0,38.3,9700000.0,2007.0,17.9,8.7,Остафьевская ,12.0,Бунинская аллея
realtor,Москва,16.0,16.0,1.0,38.5,9800000.0,1978.0,19.7,9.6, Генерала Тюленева,25.0,Генерала Тюленева
real_estate_agent,Москва,12.0,12.0,1.0,38.9,9890000.0,1981.0,20.9,8.6, Плещеева,16.0,Бибирево
realtor,Москва,9.0,14.0,1.0,41.5,9850000.0,1973.0,20.0,10.0,Шоссейная ,32.0,Люблино
developer,Москва,18.0,24.0,1.0,34.4,10045487.0,2026.0,10.9,16.0,проезд Проектируемый № 7536,12.0,Речной вокзал
developer,Москва,14.0,14.0,1.0,37.3,10197820.0,2024.0,11.4,13.9, 3-я Нововатутинская,12.0,Кедровая
developer,Москва,19.0,19.0,1.0,34.2,10231990.0,2025.0,10.1,16.0,Северо-Западный ао,2.4,Пятницкое шоссе
homeowner,Москва,5.0,9.0,1.0,33.0,10400000.0,1964.0,21.3,6.0,Зеленодольская ,12.0,Кузьминки
developer,Москва,7.0,28.0,1.0,34.5,10453500.0,2025.0,28.3,10.6,Отрадная ,12.0,Отрадное
developer,Москва,4.0,24.0,1.0,34.7,10536897.0,2027.0,23.5,5.3,Производственная ,12.0,Солнцево
developer,Москва,14.0,33.0,1.0,40.9,11045535.0,2025.0,16.4,16.3,14.5,14.5,Братиславская
real_estate_agent,Москва,12.0,17.0,1.0,38.8,11100000.0,1987.0,20.0,8.5,Городецкая ,12.0,Новокосино
real_estate_agent,Москва,11.0,12.0,1.0,33.5,8000000.0,1972.0,17.0,7.0,3-й Дорожный проезд,12.0,Улица Академика Янгеля
real_estate_agent,Москва,9.0,14.0,1.0,38.5,7000000.0,1993.0,18.0,8.0,Зеленоград,12.0,Зеленоград — Крюково
real_estate_agent,Москва,1.0,5.0,1.0,31.3,8400000.0,1966.0,17.0,6.6,Новогиреевская ,13.0,Перово
real_estate_agent,Москва,5.0,5.0,1.0,25.7,7515745.0,-1.0,28.3,6.0,Медовый переулок,12.0,Электрозаводская
real_estate_agent,Москва,6.0,9.0,1.0,33.0,9750000.0,-1.0,19.0,7.0,Голубинская ,12.0,Тёплый Стан
realtor,Москва,6.0,9.0,1.0,36.0,9200000.0,1975.0,28.3,7.0,Ореховый бульвар,12.0,Домодедовская
developer,Москва,2.0,46.0,1.0,42.5,30249760.0,2026.0,28.5,4.1,Кутузовский проезд,12.0,Фили
developer,Москва,8.0,16.0,1.0,37.8,18192215.0,2027.0,32.8,10.0,Жилой комплекс Преображенская площадь,12.0,Преображенская площадь
real_estate_agent,Москва,22.0,22.0,1.0,15.8,7890000.0,1980.0,11.0,3.0,Ленинский проспект,158.0,Юго-Западная
real_estate_agent,Москва,3.0,17.0,1.0,38.7,13400000.0,2001.0,19.0,8.0,Полярная ,12.0,Медведково
developer,Москва,8.0,44.0,1.0,40.75,21801250.0,2024.0,28.3,10.0, 4-я Марьиной рощи,12.0,Марьина Роща
real_estate_agent,Москва,22.0,22.0,1.0,14.3,8280000.0,1980.0,6.3,3.0,Ленинский проспект,158.0,Юго-Западная
real_estate_agent,Москва,17.0,25.0,1.0,50.0,19500000.0,2005.0,25.0,17.0,бульвар Генерала Карбышева,16.0,Бульвар Генерала Карбышева
real_estate_agent,Москва,22.0,22.0,1.0,16.0,8880000.0,1980.0,8.0,3.0,Ленинский проспект,158.0,Юго-Западная
real_estate_agent,Москва,3.0,33.0,1.0,37.6,15000000.0,2023.0,11.6,18.3,Очаковское шоссе,12.0,Аминьевская
real_estate_agent,Москва,7.0,17.0,1.0,37.9,11700000.0,1991.0,18.9,8.4,Люблинская ,124.0,Марьино
developer,Москва,26.0,28.0,1.0,41.65,22378095.0,2025.0,28.3,10.0,Нагатинская ,12.0,Нагатинская
developer,Москва,11.0,29.0,1.0,30.1,12837650.0,2025.0,10.5,11.5, Наметкина,12.0,Новые Черёмушки
real_estate_agent,Москва,4.0,20.0,1.0,76.13,32164925.0,2024.0,27.7,21.3,Автозаводская ,26.0,Тульская
realtor,Москва,6.0,9.0,1.0,33.0,11000000.0,1970.0,17.0,8.0, Академика Волгина,12.0,Университет Дружбы Народов
developer,Москва,11.0,47.0,1.0,41.11,19496106.0,2027.0,13.8,14.9,Огородный проезд,12.0,Бутырская
real_estate_agent,Химки,18.0,25.0,1.0,41.9,8490000.0,2009.0,18.0,10.0,Молодежная ,76.0,Молжаниново
real_estate_agent,Химки,3.0,17.0,1.0,30.0,7800000.0,2020.0,15.0,8.7, Имени К.И. Вороницына,12.0,Химки
real_estate_agent,Химки,11.0,25.0,1.0,41.84,8450000.0,2009.0,17.7,10.4, Горшина,2.0,Химки
real_estate_agent,Химки,15.0,25.0,1.0,41.5,8500000.0,-1.0,17.6,10.0, Горшина,10.0,Химки
real_estate_agent,Химки,6.0,7.0,1.0,56.0,9200000.0,2017.0,15.0,19.0, Береговая,10.0,Химки
real_estate_agent,Химки,3.0,17.0,1.0,41.6,8500000.0,2011.0,20.6,11.0, Чернышевского,1.0,Химки
realtor,Химки,13.0,18.0,1.0,37.0,7500000.0,2016.0,20.0,8.0,проезд Транспортный,15.0,Химки
real_estate_agent,Химки,14.0,25.0,1.0,45.0,8700000.0,2008.0,17.7,10.4,Молодежная ,70.0,Молжаниново
realtor,Химки,24.0,25.0,1.0,41.6,8700000.0,2016.0,14.4,12.0, Родионова,3.0,Молжаниново
realtor,Химки,24.0,25.0,1.0,41.7,8650000.0,2014.0,18.0,10.0,Совхозная ,18.0,Левобережная
real_estate_agent,Химки,5.0,27.0,1.0,45.8,11000000.0,2016.0,18.2,17.9,Молодежная ,78.0,Молжаниново
real_estate_agent,Химки,17.0,25.0,1.0,42.0,8700000.0,2007.0,18.0,10.0, Панфилова,1.0,Химки
real_estate_agent,Химки,7.0,17.0,1.0,36.0,9300000.0,2006.0,17.0,9.5,проспект Мельникова,16.0,Молжаниново
real_estate_agent,Химки,17.0,25.0,1.0,41.8,8650000.0,-1.0,18.0,10.4,Совхозная ,5.0,Левобережная
real_estate_agent,Химки,1.0,18.0,1.0,44.7,9500000.0,2016.0,28.3,13.0,9 Мая ,12.0,Химки
realtor,Химки,6.0,10.0,1.0,35.0,8866000.0,2017.0,16.0,8.5, Германа Титова,12.0,Химки
real_estate_agent,Химки,17.0,25.0,1.0,42.2,8800000.0,2007.0,17.8,10.0, Горшина,2.0,Химки
real_estate_agent,Химки,3.0,27.0,1.0,45.6,10900000.0,2016.0,18.1,17.7,Молодежная ,78.0,Молжаниново
real_estate_agent,Химки,17.0,25.0,1.0,41.9,8800000.0,2008.0,17.8,10.4,Молодежная ,70.0,Молжаниново
real_estate_agent,Химки,10.0,17.0,1.0,39.7,7800000.0,2012.0,20.0,9.0, Ленина,33.0,Сходня
real_estate_agent,Химки,9.0,25.0,1.0,42.0,8800000.0,-1.0,21.0,11.0,Молодежная ,60.0,Молжаниново
realtor,Химки,17.0,17.0,1.0,44.7,7700000.0,2013.0,19.0,11.8,Первомайская ,49.0,Сходня
real_estate_agent,Химки,22.0,25.0,1.0,42.0,8800000.0,2009.0,20.0,10.0, Горшина,2.0,Химки
real_estate_agent,Химки,6.0,9.0,1.0,32.7,7800000.0,-1.0,16.0,10.0, Германа Титова,12.0,Химки
real_estate_agent,Химки,24.0,27.0,1.0,42.0,8950000.0,2014.0,20.0,10.0,проспект Мельникова,12.0,Молжаниново
real_estate_agent,Химки,2.0,17.0,1.0,38.0,9500000.0,1990.0,19.0,8.0, Панфилова,16.0,Сходненская
realtor,Химки,1.0,8.0,1.0,33.0,6150000.0,2013.0,15.3,8.0,проезд Набережный,12.0,Шереметьевская
real_estate_agent,Химки,4.0,17.0,1.0,41.3,6500000.0,2014.0,29.2,6.0,Железнодорожная ,12.0,Сходня
homeowner,Химки,4.0,8.0,1.0,33.5,7200000.0,2013.0,28.3,10.0,Ленинский проспект,12.0,Беломорская
real_estate_agent,Химки,3.0,17.0,1.0,37.6,8500000.0,2012.0,16.0,10.0, Чернышевского,3.0,Химки
realtor,Химки,5.0,8.0,1.0,31.0,6499000.0,2012.0,28.3,8.0,Овражная ,12.0,Подрезково
realtor,Химки,5.0,7.0,1.0,52.3,22000000.0,2013.0,23.0,24.0, Олимпийская,28.0,Молжаниново
real_estate_agent,Химки,21.0,30.0,1.0,60.0,21500000.0,2017.0,38.0,8.0, Кудрявцева,12.0,Химки
real_estate_agent,Химки,2.0,16.0,1.0,36.0,7000000.0,2020.0,28.3,10.0, Микояна,12.0,Сходня
realtor,Химки,11.0,17.0,1.0,40.1,7600000.0,2015.0,17.1,13.3, 1-я Лесная,6.0,Подрезково
homeowner,Химки,8.0,15.0,1.0,45.29,6950000.0,2012.0,18.7,9.6, Ленинградская,12.0,Сходня
realtor,Химки,4.0,10.0,1.0,50.0,19900000.0,2014.0,22.0,12.0, Заречная,1.0,Молжаниново
real_estate_agent,Химки,14.0,17.0,1.0,45.0,8900000.0,2007.0,19.0,11.0, 8 Марта,9.0,Химки
realtor,Химки,6.0,17.0,1.0,37.7,7900000.0,2003.0,19.0,8.0, Марии Рубцовой,7.0,Молжаниново
homeowner,Химки,2.0,17.0,1.0,40.9,7400000.0,2012.0,21.2,11.6,тупик 2-й Мичуринский,12.0,Сходня
real_estate_agent,Химки,1.0,8.0,1.0,33.7,7200000.0,2015.0,15.0,10.0,проезд Набережный,12.0,Шереметьевская
real_estate_agent,Химки,5.0,23.0,1.0,54.2,11870000.0,2005.0,20.0,12.2, Лавочкина,12.0,Химки
real_estate_agent,Химки,8.0,26.0,1.0,41.0,9499000.0,2017.0,20.0,10.0, Родионова,12.0,Молжаниново
realtor,Химки,5.0,16.0,1.0,36.7,7800000.0,2006.0,19.8,11.4,Вишневая ,14.0,Сходня
realtor,Химки,5.0,10.0,1.0,38.0,7250000.0,2015.0,20.0,8.5,Овражная ,4.0,Сходня
real_estate_agent,Химки,13.0,16.0,1.0,36.0,7490000.0,2019.0,9.8,17.5,проезд Тепличный,6.0,Сходня
realtor,Химки,6.0,17.0,1.0,41.6,6700000.0,2013.0,16.6,11.8,Первомайская ,59.0,Сходня
realtor,Химки,6.0,8.0,1.0,45.0,8500000.0,2022.0,16.0,18.0, Генерала Дьяконова,15.0,Шереметьевская
real_estate_agent,Химки,5.0,8.0,1.0,30.8,6300000.0,2011.0,14.5,10.0,Овражная ,12.0,Подрезково
realtor,Химки,13.0,17.0,1.0,33.1,7700000.0,2017.0,21.0,9.0, Германа Титова,12.0,Химки
homeowner,Химки,10.0,18.0,1.0,30.0,8000000.0,2019.0,18.0,6.0, Германа Титова,8.0,Молжаниново
real_estate_agent,Химки,1.0,8.0,1.0,35.7,6750000.0,2022.0,18.0,12.0, Генерала Дьяконова,15.0,Шереметьевская
realtor,Химки,1.0,5.0,1.0,40.0,7650000.0,2021.0,18.0,11.0, Ивановская,12.0,Молжаниново
real_estate_agent,Химки,6.0,25.0,1.0,51.8,13500000.0,2016.0,20.0,15.6,9 Мая ,12.0,Молжаниново
real_estate_agent,Химки,13.0,19.0,1.0,44.2,7550000.0,2014.0,20.0,9.0,переулок 2-й Чапаевский,10.0,Сходня
real_estate_agent,Химки,3.0,7.0,1.0,34.0,7100000.0,2012.0,17.6,8.0, Летчика Ивана Федорова,12.0,Шереметьевская
realtor,Химки,5.0,28.0,1.0,54.8,11100000.0,2016.0,20.0,13.0,Ленинский проспект,18.0,Химки
realtor,Химки,3.0,5.0,1.0,33.0,7500000.0,-1.0,28.3,10.0,Первомайская ,14.0,Химки
real_estate_agent,Химки,15.0,19.0,1.0,39.9,7800000.0,2017.0,18.0,11.0, 1-я Лесная,12.0,Новоподрезково
realtor,Химки,2.0,13.0,1.0,35.0,7500000.0,1994.0,19.0,10.0, Панфилова,4.0,Химки
real_estate_agent,Химки,7.0,17.0,1.0,41.9,8200000.0,2014.0,15.8,12.7, 1-я Лесная,4.0,Подрезково
real_estate_agent,Химки,1.0,16.0,1.0,42.2,7200000.0,-1.0,18.0,13.0,Центральная ,12.0,Подрезково
