author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/305097068/;Московская область;sale;flat;4;13;3;82.9;43000000;Раменки;Винницкая ;8к2;Раменки;Настоящее
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/304320156/;Московская область;sale;flat;36;40;3;110.0;46500000;Кунцево;Рублевское шоссе;107;Молодёжная;Рублевские Огни
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306360333/;Московская область;sale;flat;6;37;3;76.0;47500000;Беговой;Северный ао;К2;Белорусская;Слава ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307783036/;Московская область;sale;flat;8;12;3;94.6;57000000;Якиманка;Конный переулок;4;Шаболовская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/296106332/;Московская область;sale;flat;4;8;3;69.8;65823293;Хамовники;Смоленский бульвар;22/14;Смоленская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042658/;Московская область;sale;flat;24;79;1;72.0;70000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/274593959/;Московская область;sale;flat;3;5;2;44.3;47900000;Замоскворечье;Озерковская набережная;6;Новокузнецкая;Bogenhouse
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304201217/;Московская область;sale;flat;6;23;4;114.0;49900000;Хорошево-Мневники;проезд Проектируемый № 1074;1;Терехово ;Остров
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/306845861/;Московская область;sale;flat;15;51;3;76.0;58500000;Раменки;Мичуринский проспект;56;Раменки;Небо — Небоскребы на Мичуринском, 56
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305290552/;Московская область;sale;flat;8;18;2;84.0;62750000;Тверской; Александра Невского;27;Белорусская;
